Neighbourhood,Latitude,Longitude,Room_Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Minimum_Nights,Maximum_Nights,Number_of_Reviews,Review_Score_Rating,South_Beach,North_Beach,Central_City,North_Valley,East_of_805,Beach,No_Beach,House_Apartment,Private_Room,Shared_Room
Mount Hope,32.71046,-117.11832,Entire home/apt,3,1,2,2,146,1,90,200,97,0,0,1,0,0,0,1,1,0,0
La Jolla,32.82584,-117.27474,Entire home/apt,3,1,1,1,150,1,1125,21,99,0,1,0,0,0,1,0,1,0,0
Loma Portal,32.75191,-117.23463,Entire home/apt,12,3,5,5,335,1,28,212,93,1,0,0,0,0,1,0,1,0,0
Balboa Park,32.71957,-117.14232,Entire home/apt,2,1,1,1,70,1,1000,449,98,0,0,1,0,0,0,1,1,0,0
Mission Bay,32.78907,-117.25307,Entire home/apt,4,1,2,2,204,4,59,66,97,0,1,0,0,0,1,0,1,0,0
Loma Portal,32.73964,-117.23199,Entire home/apt,7,2,3,4,249,2,1125,263,98,1,0,0,0,0,1,0,1,0,0
Mission Bay,32.7668,-117.25098,Private room,2,1,1,1,125,30,1125,1,80,0,1,0,0,0,1,0,0,1,0
Serra Mesa,32.77911,-117.12972,Shared room,1,1,1,2,27,90,1125,1,80,0,0,0,0,1,0,1,0,0,1
Balboa Park,32.71531,-117.14106,Entire home/apt,6,1,3,3,111,50,365,60,93,0,0,1,0,0,0,1,1,0,0
Ocean Beach,32.75004,-117.25071,Entire home/apt,4,1,1,1,149,1,1125,79,99,1,0,0,0,0,1,0,1,0,0
La Jolla,32.84405,-117.26884,Entire home/apt,6,1,2,2,176,3,1125,77,96,0,1,0,0,0,1,0,1,0,0
Ocean Beach,32.75393,-117.25268,Entire home/apt,6,1,1,1,322,1,1125,85,95,1,0,0,0,0,1,0,1,0,0
Mission Bay,32.76162,-117.24954,Entire home/apt,7,1,3,4,395,4,30,6,100,0,1,0,0,0,1,0,1,0,0
Balboa Park,32.71751,-117.14419,Entire home/apt,3,1,1,2,100,2,7,3,100,0,0,1,0,0,0,1,1,0,0
Carmel Valley,32.94315,-117.2321,Private room,1,1,1,1,44,30,1125,10,96,0,1,0,0,0,1,0,0,1,0
La Jolla,32.82969,-117.27492,Entire home/apt,6,1.5,2,4,217,2,28,185,94,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78627,-117.25415,Entire home/apt,8,3,3,5,425,3,21,17,95,0,1,0,0,0,1,0,1,0,0
Midtown,32.74287,-117.14937,Entire home/apt,4,1,1,1,145,2,1125,213,98,0,0,1,0,0,0,1,1,0,0
West University Heights,32.75973,-117.14568,Entire home/apt,6,1,3,3,250,3,1124,40,98,0,0,0,1,0,0,1,1,0,0
Little Italy,32.72033,-117.16837,Entire home/apt,2,1,1,1,110,1,32,262,100,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.80108,-117.25914,Entire home/apt,4,1,1,1,190,4,31,134,97,0,1,0,0,0,1,0,1,0,0
Mira Mesa,32.92591,-117.14922,Private room,2,1,1,1,50,1,1125,67,95,0,0,0,0,1,0,1,0,1,0
La Jolla,32.83966,-117.27969,Entire home/apt,14,5,6,6,863,3,1125,54,97,0,1,0,0,0,1,0,1,0,0
Balboa Park,32.71707,-117.1336,Private room,2,1,1,1,72,1,1125,33,96,0,0,1,0,0,0,1,0,1,0
Cortez Hill,32.72057,-117.16262,Entire home/apt,2,1,1,1,83,26,365,11,100,0,0,1,0,0,0,1,1,0,0
Ocean Beach,32.73962,-117.24724,Entire home/apt,1,1,1,1,80,2,30,229,99,1,0,0,0,0,1,0,1,0,0
Ocean Beach,32.75034,-117.24425,Entire home/apt,4,1,1,1,160,2,30,101,99,1,0,0,0,0,1,0,1,0,0
Roseville,32.73607,-117.22289,Private room,3,1,1,2,91,3,1125,183,99,1,0,0,0,0,1,0,0,1,0
East Village,32.70945,-117.15536,Entire home/apt,2,1,1,1,113,3,90,193,99,0,0,1,0,0,0,1,1,0,0
Memorial,32.69908,-117.13741,Private room,2,1,1,1,55,1,3,398,98,0,0,1,0,0,0,1,0,1,0
Gaslamp Quarter,32.7116,-117.15993,Entire home/apt,2,1,1,1,190,30,1125,33,98,0,0,1,0,0,0,1,1,0,0
Old Town,32.74996,-117.19071,Entire home/apt,4,2,2,2,169,4,1125,119,99,0,0,1,0,0,0,1,1,0,0
Gaslamp Quarter,32.70791,-117.15981,Entire home/apt,4,1,2,1,150,20,30,55,87,0,0,1,0,0,0,1,1,0,0
Midtown,32.74542,-117.14859,Private room,1,1,1,1,57,1,30,43,99,0,0,1,0,0,0,1,0,1,0
Midtown,32.74006,-117.16781,Entire home/apt,2,1,1,1,168,3,1125,94,100,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.80254,-117.25678,Private room,2,1,1,1,70,2,1125,41,98,0,1,0,0,0,1,0,0,1,0
Loma Portal,32.75124,-117.23053,Private room,2,1,1,1,55,30,90,34,99,1,0,0,0,0,1,0,0,1,0
Mission Bay,32.76617,-117.25145,Entire home/apt,4,1,2,3,300,3,1125,16,95,0,1,0,0,0,1,0,1,0,0
La Jolla,32.8606,-117.2508,Private room,2,1,1,1,96,3,1125,129,99,0,1,0,0,0,1,0,0,1,0
Old Town,32.75387,-117.17425,Entire home/apt,4,1,2,2,148,3,21,150,99,0,0,1,0,0,0,1,1,0,0
Clairemont Mesa,32.8074,-117.17407,Entire home/apt,2,1,1,1,98,2,1125,131,99,0,0,0,1,0,0,1,1,0,0
Yosemite Dr,32.65124,-116.95203,Entire home/apt,2,1,1,1,55,2,60,173,99,0,0,0,0,1,0,1,1,0,0
East Village,32.70972,-117.15419,Entire home/apt,2,1,1,1,79,30,1125,3,100,0,0,1,0,0,0,1,1,0,0
Clairemont Mesa,32.80798,-117.16798,Private room,2,1,1,1,51,1,1125,32,99,0,0,0,1,0,0,1,0,1,0
Mission Bay,32.76162,-117.25112,Entire home/apt,7,2,2,4,215,2,365,79,92,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80529,-117.22063,Shared room,1,1,1,2,25,3,1125,21,92,0,1,0,0,0,1,0,0,0,1
Pacific Beach,32.80324,-117.22124,Shared room,1,1,1,1,35,3,1125,7,97,0,1,0,0,0,1,0,0,0,1
Grantville,32.78342,-117.11155,Entire home/apt,2,1,1,1,82,3,29,197,99,0,0,0,0,1,0,1,1,0,0
Park West,32.72693,-117.16561,Entire home/apt,5,2,2,2,141,4,10,121,99,0,0,1,0,0,0,1,1,0,0
Little Italy,32.72024,-117.16826,Entire home/apt,2,1,1,1,194,1,32,421,100,0,0,1,0,0,0,1,1,0,0
Midtown,32.74007,-117.16377,Entire home/apt,6,2,2,2,281,3,30,109,99,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.80276,-117.24255,Private room,2,1,1,1,44,21,1125,95,94,0,1,0,0,0,1,0,0,1,0
Torrey Pines,32.87282,-117.2435,Entire home/apt,3,1,2,2,160,3,10,96,96,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.79135,-117.24218,Entire home/apt,5,2,2,2,480,3,30,16,97,0,1,0,0,0,1,0,1,0,0
Ocean Beach,32.73984,-117.24504,Private room,2,1,1,1,55,2,31,209,94,1,0,0,0,0,1,0,0,1,0
Marina,32.71536,-117.17087,Private room,2,1,1,1,10000,35,36,20,98,0,0,1,0,0,0,1,0,1,0
East Village,32.70382,-117.14689,Entire home/apt,4,1,1,2,125,3,1125,80,92,0,0,1,0,0,0,1,1,0,0
La Jolla,32.84174,-117.27628,Entire home/apt,6,2.5,3,4,295,3,121,90,89,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.77773,-117.25279,Entire home/apt,6,2,2,2,305,3,21,20,93,0,1,0,0,0,1,0,1,0,0
Park West,32.73055,-117.16962,Entire home/apt,6,2.5,3,4,181,2,1125,253,97,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.80003,-117.25585,Entire home/apt,7,2,2,4,327,2,1125,32,93,0,1,0,0,0,1,0,1,0,0
Midtown,32.73987,-117.17504,Private room,2,1.5,1,1,120,2,365,40,98,0,0,1,0,0,0,1,0,1,0
Grantville,32.78245,-117.10452,Private room,2,1,1,1,75,1,30,92,97,0,0,0,0,1,0,1,0,1,0
Otay Ranch,32.62981,-116.98157,Entire home/apt,8,2.5,3,5,166,5,1125,31,96,0,0,0,0,1,0,1,1,0,0
Mission Bay,32.7891,-117.25295,Entire home/apt,3,1,1,2,133,4,59,135,97,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.79464,-117.24893,Entire home/apt,2,1,2,2,125,30,1125,1,100,0,1,0,0,0,1,0,1,0,0
Northwest,32.63743,-117.08308,Entire home/apt,15,2,3,9,346,4,1125,190,96,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76806,-117.25033,Entire home/apt,8,3,3,4,450,2,365,84,96,0,1,0,0,0,1,0,1,0,0
Rancho Penasquitos,32.95448,-117.10648,Entire home/apt,4,1,2,2,95,20,1125,18,99,0,0,0,0,1,0,1,1,0,0
University City,32.85728,-117.20626,Entire home/apt,8,2,3,5,167,2,1125,55,95,0,1,0,0,0,1,0,1,0,0
East Village,32.70889,-117.152,Private room,3,1,1,1,115,2,1125,11,95,0,0,1,0,0,0,1,0,1,0
Gaslamp Quarter,32.71544,-117.16083,Private room,4,1,1,2,199,3,7,2,100,0,0,1,0,0,0,1,0,1,0
Mira Mesa,32.92413,-117.13122,Private room,2,1,1,1,43,2,30,74,98,0,0,0,0,1,0,1,0,1,0
Rancho Penasquitos,32.94778,-117.14288,Entire home/apt,16,2,4,5,799,2,1125,30,92,0,0,0,0,1,0,1,1,0,0
Little Italy,32.7231,-117.1673,Private room,2,1,1,1,55,1,90,243,95,0,0,1,0,0,0,1,0,1,0
Serra Mesa,32.80825,-117.14145,Entire home/apt,8,2,3,8,245,2,29,169,96,0,0,0,0,1,0,1,1,0,0
Mission Bay,32.77282,-117.25052,Entire home/apt,9,2,3,4,200,7,1125,5,100,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76661,-117.25047,Entire home/apt,8,2.5,3,6,516,7,180,92,98,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78408,-117.25356,Entire home/apt,6,1,2,3,250,3,1125,10,84,0,1,0,0,0,1,0,1,0,0
Marina,32.71352,-117.17107,Entire home/apt,5,1,2,3,156,3,28,158,93,0,0,1,0,0,0,1,1,0,0
Midtown,32.73747,-117.16073,Entire home/apt,4,2,2,2,229,30,1125,4,100,0,0,1,0,0,0,1,1,0,0
Mission Bay,32.7891,-117.25295,Entire home/apt,5,1,2,2,259,4,59,124,99,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80193,-117.24478,Private room,1,1,1,1,79,1,7,85,99,0,1,0,0,0,1,0,0,1,0
Loma Portal,32.74167,-117.23696,Entire home/apt,16,3,5,9,401,1,1124,103,94,1,0,0,0,0,1,0,1,0,0
Encanto,32.70476,-117.06261,Private room,2,3,1,1,31,1,1125,116,92,0,0,0,0,1,0,1,0,1,0
La Jolla,32.82834,-117.27622,Entire home/apt,8,2,4,5,296,1,365,45,94,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80591,-117.25547,Entire home/apt,10,2.5,3,7,287,1,365,20,99,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.7975,-117.25404,Entire home/apt,5,2,2,2,275,1,365,19,96,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78304,-117.25282,Entire home/apt,7,3,3,4,339,1,365,12,95,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78371,-117.25196,Entire home/apt,6,2,2,2,205,1,365,11,95,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.77691,-117.253,Entire home/apt,6,2,2,4,342,1,365,7,94,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76548,-117.2517,Entire home/apt,6,1,2,4,289,1,365,8,90,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78438,-117.25344,Entire home/apt,9,2.5,3,4,365,1,365,22,96,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76162,-117.25026,Entire home/apt,6,2,2,4,231,1,365,15,97,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78434,-117.25377,Entire home/apt,6,2.5,2,2,344,1,365,20,97,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78359,-117.25369,Entire home/apt,6,1,2,2,295,1,365,9,98,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78767,-117.25282,Entire home/apt,6,3,2,3,344,1,365,14,100,0,1,0,0,0,1,0,1,0,0
Midtown,32.73263,-117.16354,Private room,2,1,1,1,94,1,1125,195,99,0,0,1,0,0,0,1,0,1,0
Loma Portal,32.74528,-117.24113,Entire home/apt,3,1,1,1,145,2,1125,114,93,1,0,0,0,0,1,0,1,0,0
Marina,32.7086,-117.16242,Entire home/apt,4,1,1,1,115,1,120,284,92,0,0,1,0,0,0,1,1,0,0
Loma Portal,32.73933,-117.2362,Private room,2,1,1,1,102,2,1125,10,98,1,0,0,0,0,1,0,0,1,0
Mission Bay,32.78566,-117.25208,Entire home/apt,12,5,3,6,800,3,29,34,98,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80548,-117.24158,Entire home/apt,8,1,3,3,350,3,365,1,100,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80287,-117.25094,Entire home/apt,6,1,2,3,350,3,1125,5,100,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80291,-117.25129,Entire home/apt,14,3.5,5,5,900,3,14,5,100,0,1,0,0,0,1,0,1,0,0
Ocean Beach,32.75294,-117.25188,Entire home/apt,6,2,3,5,330,3,28,45,93,1,0,0,0,0,1,0,1,0,0
North Clairemont,32.83739,-117.18488,Private room,1,1,1,1,45,1,1125,64,91,0,0,0,1,0,0,1,0,1,0
Normal Heights,32.75836,-117.11747,Entire home/apt,4,1,2,2,245,2,29,39,98,0,0,0,0,1,0,1,1,0,0
Grant Hill,32.711,-117.13639,Entire home/apt,16,2.5,4,11,282,2,1125,323,91,0,0,1,0,0,0,1,1,0,0
East Village,32.7129,-117.159,Entire home/apt,5,1,1,4,139,3,90,306,96,0,0,1,0,0,0,1,1,0,0
Mission Bay,32.76368,-117.25014,Entire home/apt,12,4,5,7,533,1,365,27,95,0,1,0,0,0,1,0,1,0,0
Bay Park,32.79315,-117.20493,Entire home/apt,7,2.5,3,5,225,3,1125,90,94,0,0,0,1,0,0,1,1,0,0
Paradise Hills,32.67385,-117.0628,Private room,4,1,1,1,52,3,1124,95,96,0,0,0,0,1,0,1,0,1,0
Pacific Beach,32.80138,-117.25808,Entire home/apt,6,1,1,3,163,4,90,23,88,0,1,0,0,0,1,0,1,0,0
Nestor,32.56041,-117.06901,Shared room,1,1,1,1,65,2,3,1,100,1,0,0,0,0,1,0,0,0,1
Mission Bay,32.78535,-117.25287,Entire home/apt,4,1,2,4,250,2,1125,13,97,0,1,0,0,0,1,0,1,0,0
Serra Mesa,32.8065,-117.12586,Entire home/apt,12,2,3,6,256,1,1125,198,98,0,0,0,0,1,0,1,1,0,0
Carmel Valley,32.94274,-117.18549,Entire home/apt,14,5,9,9,800,5,14,1,100,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78563,-117.25279,Entire home/apt,4,1,2,3,250,2,1125,31,95,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78454,-117.25345,Entire home/apt,4,1,2,3,250,2,1125,16,95,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78524,-117.25193,Entire home/apt,8,2,2,4,321,2,99,117,98,0,1,0,0,0,1,0,1,0,0
Grant Hill,32.71144,-117.13937,Entire home/apt,5,1,2,3,129,3,1125,36,96,0,0,1,0,0,0,1,1,0,0
Clairemont Mesa,32.82936,-117.19229,Entire home/apt,6,2,3,3,175,3,365,74,93,0,0,0,1,0,0,1,1,0,0
La Jolla,32.84696,-117.2752,Entire home/apt,6,2,2,3,278,3,1125,85,95,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76629,-117.25134,Entire home/apt,9,2.5,4,5,352,1,365,14,97,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76514,-117.25199,Entire home/apt,8,2,3,3,339,1,365,8,100,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76634,-117.25135,Entire home/apt,10,4,4,6,397,1,365,21,96,0,1,0,0,0,1,0,1,0,0
Old Town,32.75069,-117.15664,Entire home/apt,4,1,2,2,135,2,14,201,97,0,0,1,0,0,0,1,1,0,0
La Jolla,32.82939,-117.27958,Entire home/apt,5,2,2,4,395,4,280,17,99,0,1,0,0,0,1,0,1,0,0
La Jolla,32.81046,-117.26776,Entire home/apt,6,2,2,2,205,1,365,45,97,0,1,0,0,0,1,0,1,0,0
Rancho Bernadino,33.03042,-117.08432,Private room,2,1,1,1,63,2,25,119,99,0,0,0,0,1,0,1,0,1,0
Nestor,32.57383,-117.08822,Private room,2,1,1,1,36,1,1125,114,98,1,0,0,0,0,1,0,0,1,0
Mission Bay,32.78422,-117.25284,Entire home/apt,2,1,1,2,250,2,1125,18,97,0,1,0,0,0,1,0,1,0,0
Sunbow,32.61301,-117.02432,Private room,2,1,1,1,45,1,1125,173,99,0,0,0,0,1,0,1,0,1,0
Marina,32.71349,-117.16947,Entire home/apt,3,2,2,2,350,30,1124,85,96,0,0,1,0,0,0,1,1,0,0
La Jolla,32.8369,-117.2559,Private room,2,1,1,2,86,3,1125,50,100,0,1,0,0,0,1,0,0,1,0
Mission Bay,32.78989,-117.25383,Entire home/apt,6,1,2,3,335,3,14,3,100,0,1,0,0,0,1,0,1,0,0
Linda Vista,32.7724,-117.16856,Private room,2,1,1,1,45,1,1125,57,95,0,0,0,1,0,0,1,0,1,0
Rolando,32.76576,-117.05534,Entire home/apt,2,1,1,1,55,7,1125,57,89,0,0,0,0,1,0,1,1,0,0
Serra Mesa,32.7773,-117.15032,Private room,1,1,1,1,66,35,1125,6,100,0,0,0,0,1,0,1,0,1,0
East Village,32.7145,-117.15369,Entire home/apt,4,1,1,2,63,2,180,136,92,0,0,1,0,0,0,1,1,0,0
Midtown,32.74331,-117.17561,Entire home/apt,2,1,1,1,75,3,1125,111,100,0,0,1,0,0,0,1,1,0,0
Midtown,32.74471,-117.16618,Entire home/apt,10,2,4,4,383,3,1125,91,100,0,0,1,0,0,0,1,1,0,0
La Jolla,32.84692,-117.25147,Private room,6,1,1,1,97,2,1125,149,96,0,1,0,0,0,1,0,0,1,0
Mission Bay,32.79226,-117.23263,Entire home/apt,6,2,2,2,70,28,1100,192,95,0,1,0,0,0,1,0,1,0,0
La Jolla Village,32.86228,-117.23132,Private room,2,1.5,1,1,112,6,120,47,100,0,1,0,0,0,1,0,0,1,0
Northwest,32.62594,-117.06133,Entire home/apt,6,1,2,4,99,1,30,158,98,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.77462,-117.25134,Entire home/apt,5,2,2,3,264,2,30,211,98,0,1,0,0,0,1,0,1,0,0
Carmel Valley,32.94832,-117.22901,Private room,2,1,1,2,126,30,1125,50,97,0,1,0,0,0,1,0,0,1,0
Ocean Beach,32.75401,-117.25076,Entire home/apt,5,1,1,1,231,1,1125,80,95,1,0,0,0,0,1,0,1,0,0
City Heights West,32.74747,-117.11401,Entire home/apt,1,1,1,0,47,5,29,140,97,0,0,0,0,1,0,1,1,0,0
Mission Bay,32.76106,-117.25092,Entire home/apt,8,2.5,3,5,365,1,365,30,96,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.7749,-117.25299,Entire home/apt,6,2,2,4,369,1,365,3,100,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.77346,-117.25229,Entire home/apt,6,2,2,3,258,1,365,21,96,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.7749,-117.25288,Entire home/apt,8,4,3,4,433,1,365,7,80,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.7849,-117.25337,Entire home/apt,8,3,3,4,334,1,365,21,95,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.7602,-117.24817,Entire home/apt,6,1,2,4,362,1,365,10,100,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.77505,-117.25228,Entire home/apt,8,2.5,3,4,365,1,365,7,97,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.7603,-117.24811,Entire home/apt,8,2,3,4,438,1,365,25,98,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76199,-117.24938,Entire home/apt,9,3,3,4,493,1,365,17,99,0,1,0,0,0,1,0,1,0,0
La Jolla,32.82991,-117.27876,Entire home/apt,4,1,1,1,302,1,365,17,95,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76195,-117.24936,Entire home/apt,4,1,1,2,305,1,365,7,97,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.7654,-117.2517,Entire home/apt,8,2.5,3,5,308,1,365,44,97,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.7813,-117.25288,Entire home/apt,6,2,2,3,299,1,365,5,92,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76402,-117.25024,Entire home/apt,7,2,3,4,365,1,365,14,89,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76757,-117.25143,Entire home/apt,8,2.5,3,5,313,1,365,34,96,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.77484,-117.25287,Entire home/apt,9,3,3,4,433,1,365,13,95,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.8044,-117.25974,Entire home/apt,9,3,4,5,377,1,365,24,99,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76152,-117.25021,Entire home/apt,8,2,2,4,258,1,365,13,94,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78553,-117.25349,Entire home/apt,9,3,3,7,412,1,365,3,87,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78594,-117.25375,Entire home/apt,6,2,2,4,330,1,365,14,96,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78842,-117.25404,Entire home/apt,9,3,3,6,329,1,365,7,91,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78824,-117.25401,Entire home/apt,6,2,2,3,268,1,365,14,96,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.77511,-117.25233,Entire home/apt,8,2,3,5,391,1,365,12,90,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.77996,-117.25172,Entire home/apt,9,2.5,3,5,411,1,365,16,94,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78031,-117.25324,Entire home/apt,8,3,4,6,658,1,365,3,87,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.79927,-117.25575,Entire home/apt,4,1,2,2,263,1,365,18,98,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.78578,-117.25362,Entire home/apt,8,3,3,4,344,1,365,30,96,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76754,-117.25238,Entire home/apt,6,2,2,2,418,1,365,13,89,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.77483,-117.253,Entire home/apt,6,2,2,2,411,1,365,1,100,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76754,-117.25238,Entire home/apt,8,3,3,5,521,1,365,12,88,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.81647,-117.23544,Entire home/apt,12,4.5,5,8,850,3,1125,71,95,0,1,0,0,0,1,0,1,0,0
Carmel Valley,32.95331,-117.22562,Private room,2,1,1,1,60,1,30,34,98,0,1,0,0,0,1,0,0,1,0
Midtown,32.74631,-117.16018,Entire home/apt,4,1,2,2,82,7,1125,244,99,0,0,1,0,0,0,1,1,0,0
Carmel Valley,32.92562,-117.22986,Entire home/apt,2,1,1,1,148,3,8,96,96,0,1,0,0,0,1,0,1,0,0
Serra Mesa,32.79653,-117.13929,Entire home/apt,2,1,1,1,65,3,1125,252,100,0,0,0,0,1,0,1,1,0,0
Carmel Valley,32.95147,-117.19949,Private room,1,1,1,2,58,1,1125,16,96,0,1,0,0,0,1,0,0,1,0
Grant Hill,32.70729,-117.14011,Entire home/apt,4,1,1,2,82,2,1125,243,94,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.79923,-117.25768,Entire home/apt,4,1,1,2,140,6,28,91,98,0,1,0,0,0,1,0,1,0,0
Carmel Valley,32.9503,-117.19969,Private room,1,1,1,1,58,1,1125,13,95,0,1,0,0,0,1,0,0,1,0
Mission Bay,32.78217,-117.25186,Entire home/apt,8,2.5,3,4,350,3,1125,23,97,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76159,-117.25111,Entire home/apt,10,2,4,5,401,1,365,23,98,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.77631,-117.25368,Entire home/apt,6,2,2,2,286,3,30,25,95,0,1,0,0,0,1,0,1,0,0
Little Italy,32.72423,-117.16685,Entire home/apt,4,1,1,1,120,2,1125,180,94,0,0,1,0,0,0,1,1,0,0
Balboa Park,32.71619,-117.13069,Private room,2,1,1,1,70,2,30,90,98,0,0,1,0,0,0,1,0,1,0
Little Italy,32.72485,-117.16775,Entire home/apt,6,2,2,2,400,3,60,4,100,0,0,1,0,0,0,1,1,0,0
Balboa Park,32.74071,-117.14807,Entire home/apt,4,1,1,2,98,7,1125,107,99,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.81481,-117.23367,Entire home/apt,14,4,5,8,1400,3,120,14,96,0,1,0,0,0,1,0,1,0,0
Midtown,32.74627,-117.15571,Private room,2,1.5,1,1,69,2,15,164,99,0,0,1,0,0,0,1,0,1,0
Old Town,32.75051,-117.17925,Entire home/apt,6,2,3,3,450,5,120,6,100,0,0,1,0,0,0,1,1,0,0
Midtown,32.74006,-117.17255,Entire home/apt,5,1,2,2,180,3,60,24,100,0,0,1,0,0,0,1,1,0,0
Midtown,32.74215,-117.15975,Entire home/apt,4,1,1,2,125,1,1125,167,88,0,0,1,0,0,0,1,1,0,0
Mission Bay,32.78655,-117.25266,Entire home/apt,2,1,1,1,130,5,31,38,98,0,1,0,0,0,1,0,1,0,0
Rancho Del Rey,32.64558,-117.03165,Entire home/apt,6,1,2,4,199,5,1125,6,85,0,0,0,0,1,0,1,1,0,0
Ocean Beach,32.75125,-117.24611,Entire home/apt,8,3,5,5,375,4,1125,87,95,1,0,0,0,0,1,0,1,0,0
La Jolla,32.82619,-117.24231,Private room,2,1,1,1,110,2,15,44,98,0,1,0,0,0,1,0,0,1,0
Pacific Beach,32.80157,-117.2416,Entire home/apt,2,1,1,1,452,2,30,40,96,0,1,0,0,0,1,0,1,0,0
University City,32.85037,-117.21923,Private room,2,1.5,1,1,55,1,1125,142,98,0,1,0,0,0,1,0,0,1,0
Bay Park,32.77426,-117.20444,Entire home/apt,10,2,4,7,162,1,1125,155,90,0,0,0,1,0,0,1,1,0,0
Marina,32.71019,-117.16167,Private room,1,0,1,0,59,1,1125,22,86,0,0,1,0,0,0,1,0,1,0
West University Heights,32.76277,-117.14889,Entire home/apt,4,1,1,1,95,1,1125,142,89,0,0,0,1,0,0,1,1,0,0
Gaslamp Quarter,32.71246,-117.16185,Private room,2,0,1,1,83,1,1125,24,80,0,0,1,0,0,0,1,0,1,0
Gaslamp Quarter,32.711,-117.16016,Private room,2,0,1,1,59,1,1125,47,86,0,0,1,0,0,0,1,0,1,0
Mission Valley,32.77301,-117.15244,Private room,1,1,1,1,145,1,7,5,90,0,0,0,1,0,0,1,0,1,0
Cortez Hill,32.72193,-117.1594,Entire home/apt,5,2,2,3,199,3,185,77,97,0,0,1,0,0,0,1,1,0,0
Ocean Beach,32.75081,-117.24514,Entire home/apt,5,2,2,4,300,7,1125,5,95,1,0,0,0,0,1,0,1,0,0
Mission Bay,32.77823,-117.25233,Entire home/apt,8,2.5,3,5,275,3,365,2,100,0,1,0,0,0,1,0,1,0,0
